condition,feature,subject,accuracy
control_sentence,Phoneme Surprisal/Entropy,sub-037,0.024190324657996864
control_sentence,Phoneme Surprisal/Entropy,sub-038,0.014859591969082677
random_word_list,Phoneme Surprisal/Entropy,sub-006,0.016989774552285435
random_word_list,Phoneme Surprisal/Entropy,sub-008,0.017774024365318303
random_word_list,Phoneme Surprisal/Entropy,sub-009,0.019447610148896507
random_word_list,Phoneme Surprisal/Entropy,sub-010,0.01309101267385174
random_word_list,Phoneme Surprisal/Entropy,sub-011,0.006268562959807473
random_word_list,Phoneme Surprisal/Entropy,sub-012,0.009126399237507882
random_word_list,Phoneme Surprisal/Entropy,sub-013,0.01107789174298715
random_word_list,Phoneme Surprisal/Entropy,sub-015,0.003817808856706826
random_word_list,Phoneme Surprisal/Entropy,sub-016,0.0006964571839106267
random_word_list,Phoneme Surprisal/Entropy,sub-017,0.020994745488271634
random_word_list,Phoneme Surprisal/Entropy,sub-018,0.02366070090262427
random_word_list,Phoneme Surprisal/Entropy,sub-019,0.0025956780467105032
random_word_list,Phoneme Surprisal/Entropy,sub-020,0.010034883888619364
random_word_list,Phoneme Surprisal/Entropy,sub-021,0.01460883790422336
random_word_list,Phoneme Surprisal/Entropy,sub-022,0.011239978896258489
random_word_list,Phoneme Surprisal/Entropy,sub-023,0.007461750201526396
random_word_list,Phoneme Surprisal/Entropy,sub-024,0.0005922152023781448
random_word_list,Phoneme Surprisal/Entropy,sub-025,0.005192862154290302
random_word_list,Phoneme Surprisal/Entropy,sub-026,0.011804162173808462
random_word_list,Phoneme Surprisal/Entropy,sub-027,0.01161892567533913
random_word_list,Phoneme Surprisal/Entropy,sub-028,0.010428787484681307
random_word_list,Phoneme Surprisal/Entropy,sub-030,0.0134835473562764
random_word_list,Phoneme Surprisal/Entropy,sub-031,0.0019390713891095385
random_word_list,Phoneme Surprisal/Entropy,sub-032,0.008330372025589335
random_word_list,Phoneme Surprisal/Entropy,sub-033,0.0066282982271719
random_word_list,Phoneme Surprisal/Entropy,sub-034,0.011714187759408048
random_word_list,Phoneme Surprisal/Entropy,sub-035,0.008074674998751306
random_word_list,Phoneme Surprisal/Entropy,sub-036,0.007895634234813794
random_word_list,Phoneme Surprisal/Entropy,sub-037,0.02346477887930024
random_word_list,Phoneme Surprisal/Entropy,sub-038,0.013684250753730896
